数据分析师,上海戎浦贸易有限公司,民营公司,500-1000人,贸易/进出口,1.5-2万/月,上海-闵行区,5-7年经验,本科,招2人,03-26发布,英语一般,统计学 计算机科学与技术,,
数据分析师/DBA(数据库管理员）,福建南威软件有限公司,民营公司,500-1000人,计算机软件,1-1.5万/月,泉州,2年经验,大专,招2人,03-26发布,,,五险一金;员工旅游;交通补贴;年终奖金;通讯补贴;餐饮补贴;定期体检,
数据分析专员,深圳市晨光乳业有限公司,国企,1000-5000人,快速消费品(食品、饮料、化妆品),0.8-1万/月,深圳,3-4年经验,本科,招1人,03-26发布,,,五险一金;年终奖金;绩效奖金;专业培训;定期体检,
数据分析专员,重庆立鼎科技有限公司,民营公司,500-1000人,计算机软件,3.4-5千/月,重庆-江北区,1年经验,本科,招5人,03-26发布,,,社保五险;专业培训;绩效奖金;定期体检;节日福利;生日礼金;国外旅游;员工活动,
商品专员/商品数据分析,岩脉（上海）网络科技有限公司,民营公司,150-500人,互联网/电子商务,6-8千/月,上海-闵行区,1年经验,大专,招1人,03-26发布,,,周末双休;带薪年假;五险一金;绩效奖金;全勤奖;节日福利,
数据分析师,成都云达智业科技有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),1-1.5万/月,成都-高新区,2年经验,硕士,招2人,03-26发布,,管理科学 数学与应用数学,五险一金;员工旅游;餐饮补贴;绩效奖金;年终奖金;弹性工作;专业培训,
金融数据分析专员（双休）,广州市大睿杭实业投资有限公司,民营公司,50-150人,金融/投资/证券,0.8-1万/月,广州-天河区,无工作经验,高中,招5人,03-26发布,,,五险一金;通讯补贴;定期体检;年终奖金;餐饮补贴;出国机会;弹性工作;交通补贴;绩效奖金,
数据分析助理,广州速道信息科技有限公司,民营公司,1000-5000人,互联网/电子商务,0.6-1万/月,广州-海珠区,无工作经验,本科,招1人,03-26发布,,,五险一金;餐饮补贴;弹性工作,
商品数据分析,深圳市茜施尔服装有限公司,民营公司,150-500人,服装/纺织/皮革,0.8-1万/月,北京-朝阳区,无工作经验,,招1人,03-26发布,,,带薪年假;五险一金;包吃;节日福利;专业培训;周末双休;年度旅游;年度体检,
迹风诚招商品数据分析员,南京迹风服饰有限公司,民营公司,150-500人,服装/纺织/皮革,5-8千/月,南京-江宁区,3-4年经验,大专,招1人,03-26发布,,,五险一金;员工旅游;专业培训;年终奖金;周末双休;包住宿;节日福利,
经营数据分析,地上铁租车（深圳）有限公司,合资,500-1000人,交通/运输/物流,0.7-1.2万/月,成都-龙泉驿区,3-4年经验,本科,招若干人,03-26发布,,,做五休二;周末双休;五险一金;餐饮补贴;通讯补贴,
