JAVA工程师,深圳市拓保软件有限公司成都分公司,民营公司,150-500人,计算机软件,0.8-1万/月,成都-锦江区,3-4年经验,大专,招1人,03-24发布,,,五险一金;年终奖金;定期体检;节日福利,
Java后台开发工程师,广东联通通信建设有限公司,国企,50-150人,通信/电信/网络设备,0.8-1.5万/月,广州-天河区,1年经验,本科,招若干人,03-24发布,,,五险一金;餐饮补贴;交通补贴;定期体检,
高级java程序员,重庆畅停智慧停车服务有限公司,合资,50-150人,互联网/电子商务,0.8-1.2万/月,重庆-渝北区,5-7年经验,本科,招2人,03-24发布,,,五险一金;餐饮补贴;周末双休;定期聚餐,
Java开发工程师				(职位编号：1),深圳市观潮汇数据科技有限公司,民营公司,少于50人,互联网/电子商务,1-1.5万/月,深圳-南山区,3-4年经验,本科,招3人,03-24发布,普通话一般,电子信息科学与技术 信息科学技术,五险一金;专业培训;交通补贴;生日福利,
Java开发工程师,深圳市广通软件有限公司,民营公司,150-500人,计算机软件,0.8-1万/月,南京-建邺区,无工作经验,,招若干人,03-24发布,,,,
Java开发工程师,广州星点网络科技有限公司,民营公司,少于50人,互联网/电子商务,0.5-1万/月,广州-天河区,1年经验,大专,招3人,03-24发布,,,,
Java开发工程师,深圳中砼物联网科技有限公司,民营公司,50-150人,计算机软件,0.9-1.5万/月,武汉-洪山区,3-4年经验,本科,招2人,03-24发布,,,五险一金,
Java开发工程师,中科知图教育科技（苏州）有限公司,民营公司,少于50人,计算机软件,1-1.5万/月,苏州-高新区,无工作经验,本科,招6人,03-24发布,,,,
游戏Java后台开发,浙江星飞信息技术有限公司,民营公司,150-500人,网络游戏,1.5-2.5万/月,广州-天河区,3-4年经验,本科,招若干人,03-24发布,,,五险一金;餐饮补贴;年终奖金;定期体检;下午茶;弹性工作;绩效奖金,
Java开发工程师,深圳市盈通数据服务股份有限公司,民营公司,50-150人,计算机软件,0.7-1.2万/月,合肥-蜀山区,3-4年经验,本科,招1人,03-24发布,,,,
Java高级开发工程师,生鲜港电子商务有限公司,合资,50-150人,互联网/电子商务,1-2万/月,济南-历下区,3-4年经验,本科,招1人,03-24发布,,,五险一金;员工旅游;定期体检;年终奖金;绩效奖金;专业培训,
JAVA工程师（贵州）,江苏欧索软件有限公司,外资（欧美）,150-500人,计算机软件,0.6-1万/月,贵阳,2年经验,大专,招1人,03-24发布,,,五险一金;绩效奖金,
JAVA研发工程师,北京蓝天清科控股有限公司,民营公司,150-500人,生活服务,0.7-1万/月,北京-通州区,2年经验,本科,招2人,03-24发布,,软件工程,,
java研发工程师（边源）,浙江新医物联科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,1.5-2.5万/月,杭州-江干区,3-4年经验,本科,招1人,03-24发布,,,周末双休;绩效奖金;年底双薪;员工旅游;定期团建,
Java高级开发工程师,苏州华歆聚合网络科技有限公司,合资,少于50人,计算机软件,1-1.5万/月,苏州-工业园区,5-7年经验,本科,招若干人,03-24发布,,,缴纳五险;周末双休;带薪年假;绩效奖金;全勤奖;节日福利,
Java开发工程师,淮安亚仑科技有限公司,民营公司,少于50人,计算机软件,5-6千/月,淮安,2年经验,本科,招2人,03-24发布,,,做五休二;周末双休;五险一金;专业培训;节日福利;全勤奖,
Java高级开发工程师,钱宝科技服务有限公司,民营公司,150-500人,金融/投资/证券,1.5-2.5万/月,上海-长宁区,无工作经验,,招2人,03-24发布,,,五险一金;员工旅游;餐饮补贴;做五休二;节日福利;定期体检,
java开发人员,北京弘洁建设集团有限公司,民营公司,150-500人,建筑/建材/工程,0.8-1.5万/月,北京-丰台区,1年经验,大专,招若干人,03-24发布,,软件工程,五险;餐饮补贴;周末双休;绩效奖金;节日福利,
Java+Vue工程师,上海超洁智联科技有限公司,民营公司,150-500人,互联网/电子商务,1-1.5万/月,上海-宝山区,2年经验,大专,招若干人,03-24发布,,,五险一金;绩效奖金;节日福利;创业公司;年底双薪;餐饮补贴;带薪年假;做五休二;上升空间大;领导层次高,
JAVA实习生,信雅达系统工程股份有限公司,民营公司,5000-10000人,计算机服务(系统、数据服务、维修),2-4千/月,杭州,无工作经验,本科,招3人,03-24发布,,,五险一金;餐饮补贴;免费班车;定期体检;周末双休;年终奖金;通讯补贴,
Java初级开发工程师,重庆中融晟网络信息技术有限公司,民营公司,少于50人,互联网/电子商务,5-8千/月,重庆-江北区,2年经验,大专,招2人,03-24发布,,,五险一金;绩效奖金;年终奖金;员工旅游;专业培训,
Java高级开发工程师,上海中消网络科技有限公司,民营公司,50-150人,互联网/电子商务,1.2-2万/月,上海-黄浦区,3-4年经验,本科,招2人,03-24发布,,,五险一金,
