,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
126,.NET高级程序员,纬衡浩建科技（深圳）有限公司,外资（非欧美）,50-150人,计算机软件,0.8-1万/月,武汉,2年经验,本科,招8人,['五险一金'],3,8.0,10.0,1
127,.NET軟件工程師,塔胡胡商务服务（深圳）有限公司,外资（非欧美）,少于50人,"计算机软件,家居/室内设计/装潢",1.3-2万/月,深圳,无工作经验,本科,招若干人,['五险一金'],3,13.0,20.0,1
129,.NET开发工程师,印孚瑟斯技术（中国）有限公司,外资（非欧美）,1000-5000人,计算机软件,1.5-2万/月,深圳,8-9年经验,大专,招10人,"['五险一金', '员工旅游', '餐饮补贴', '专业培训', '出国机会', '年终奖金', '定期体检']",3,15.0,20.0,1
130,.NET开发工程师,金蝶软件深圳分公司,上市公司,10000人以上,计算机软件,1.2-1.8万/月,深圳,3-4年经验,本科,招3人,"['五险一金', '专业培训', '补充医疗保险', '定期体检', '员工旅游', '绩效奖金', '年终奖金', '弹性工作', '通讯补贴', '交通补贴']",3,12.0,18.0,1
131,小程序开发工程师(.net),深圳市和智物联科技有限公司,民营公司,少于50人,计算机软件,0.8-2万/月,深圳,3-4年经验,大专,招2人,"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利']",3,8.0,20.0,1
132,.NET开发高级工程师,信必优(深圳)信息技术有限公司,外资（欧美）,1000-5000人,计算机软件,1.5-2万/月,深圳,无工作经验,本科,招6人,['五险一金'],3,15.0,20.0,1
134,ASP.NET开发工程师,深圳市益尔智控技术有限公司,民营公司,少于50人,仪器仪表/工业自动化,0.8-1.5万/月,深圳,3-4年经验,本科,招1人,"['五险一金', '员工旅游', '餐饮补贴', '出国机会', '绩效奖金', '年终奖金']",3,8.0,15.0,1
135,.NET软件工程师,深圳市合尔为科技有限公司,民营公司,50-150人,"仪器仪表/工业自动化,计算机软件",5-9千/月,深圳,无工作经验,大专,招5人,['五险一金'],2,5.0,9.0,1
136,.NET高级开发工程师,深圳市快金数据技术服务有限公司,民营公司,50-150人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",1.5-2.5万/月,深圳,无工作经验,大专,招若干人,"['五险一金', '免费班车', '员工旅游', '弹性工作', '定期体检']",3,15.0,25.0,1
137,.NET开发工程师,深圳市博安达信息技术股份有限公司,民营公司,150-500人,"计算机软件,环保",0.6-1.2万/月,深圳,无工作经验,本科,招1人,"['周末双休', '一天八小时']",3,6.0,12.0,1
138,.NET高级开发工程师,云工工业科技（深圳）有限公司,民营公司,150-500人,"互联网/电子商务,机械/设备/重工",1-2万/月,深圳,5-7年经验,本科,招若干人,['五险一金'],3,10.0,20.0,1
139,.NET资深开发工程师,恩斯迈电子（深圳）有限公司,外资（非欧美）,5000-10000人,"电子技术/半导体/集成电路,计算机硬件",1-1.8万/月,深圳,3-4年经验,大专,招1人,"['五险一金', '绩效奖金', '员工旅游', '年终奖金', '定期体检']",3,10.0,18.0,1
140,C# .NET 开发 人员,深圳九明珠信息科技有限公司,民营公司,150-500人,计算机软件,0.5-1万/月,深圳,2年经验,本科,招若干人,"['五险一金', '年终奖金', '员工旅游', '绩效奖金']",3,5.0,10.0,1
141,.NET开发工程师,南京南游网络科技有限公司,民营公司,少于50人,"网络游戏,互联网/电子商务",1.5-2万/月,深圳,3-4年经验,本科,招3人,"['五险一金', '弹性工作', '员工旅游', '交通补贴']",3,15.0,20.0,1
142,.NET高级开发工程师,博康姆（深圳）云科技有限公司,民营公司,少于50人,"通信/电信/网络设备,电子技术/半导体/集成电路",1.2-1.8万/月,深圳,3-4年经验,本科,招1人,['五险一金'],3,12.0,18.0,1
143,.net后端开发工程师（海外）,知阁（深圳）网络科技有限公司,民营公司,少于50人,"互联网/电子商务,电子技术/半导体/集成电路",1.5-3万/月,深圳,5-7年经验,大专,招1人,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '年终奖金', '股票期权', '定期体检', '绩效奖金']",3,15.0,30.0,1
144,.NET开发工程师,深圳市雅都软件股份有限公司,民营公司,50-150人,计算机软件,1-1.5万/月,深圳,2年经验,本科,招2人,"['五险一金', '定期体检']",3,10.0,15.0,1
145,c#软件工程师/.net软件工程师,深圳市易高科技有限公司,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",1-2万/月,深圳,2年经验,本科,招2人,"['五险一金', '绩效奖金', '员工旅游', '年终奖金', '专业培训', '餐饮补贴']",3,10.0,20.0,1
146,.NET开发工程师,东莞市糖酒集团美宜佳便利店有限公司,民营公司,1000-5000人,"批发/零售,快速消费品(食品、饮料、化妆品)",0.8-1.5万/月,东莞,2年经验,本科,招2人,"['五险一金', '绩效奖金', '年终奖金', '通讯补贴', '餐饮补贴', '员工旅游', '带薪年假', '扶持开店', '提供住宿']",3,8.0,15.0,1
147,.NET开发工程师,深圳市创同盟科技有限公司,民营公司,50-150人,"互联网/电子商务,计算机软件",1.1-1.8万/月,深圳,3-4年经验,本科,招1人,"['带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训', '交通补贴', '通讯补贴', '一对一带', '办公环境好', '带薪培训']",3,11.0,18.0,1
148,ASP .NET 软件工程师,深圳市艾姆诗数码科技有限公司,民营公司,1000-5000人,"互联网/电子商务,贸易/进出口",0.8-1.5万/月,深圳,2年经验,大专,招4人,"['五险一金', '员工旅游', '年终奖金']",3,8.0,15.0,1
149,.NET高级架构师,明源软件,民营公司,1000-5000人,计算机软件,2-4万/月,武汉,5-7年经验,大专,招若干人,"['周末双休', '五险一金', '通讯补贴', '员工旅游', '定期体检']",3,20.0,40.0,1
150,.NET开发工程师（3号线草埔站附近）,深圳市快印客电子商务有限公司,民营公司,150-500人,互联网/电子商务,0.9-1.2万/月,深圳,2年经验,大专,招2人,"['五险一金', '员工旅游', '专业培训', '年终奖金', '定期体检']",3,9.0,12.0,1
151,.NET高级开发工程师,深圳市跨境翼电子商务股份有限公司,民营公司,150-500人,"互联网/电子商务,贸易/进出口",0.8-2万/月,深圳,3-4年经验,大专,招1人,"['五险一金', '弹性工作', '绩效奖金', '年终奖金']",3,8.0,20.0,1
152,.NET开发工程师,深圳市阿卡索资讯股份有限公司,民营公司,1000-5000人,"互联网/电子商务,教育/培训/院校",0.7-1.3万/月,深圳,1年经验,本科,招10人,"['五险一金', '商业保险', '专业培训', '扁平化管理', '带薪年假', '节日福利']",3,7.0,13.0,1
153,.NET开发工程师,深圳越海全球供应链有限公司,民营公司,1000-5000人,交通/运输/物流,1-1.5万/月,深圳,3-4年经验,大专,招若干人,"['五险一金', '员工旅游', '餐饮补贴', '年终奖金', '定期体检', '专业培训']",3,10.0,15.0,1
154,.NET开发工程师,深圳前海中民电商有限公司,民营公司,150-500人,"互联网/电子商务,金融/投资/证券",0.6-1万/月,深圳,无工作经验,本科,招2人,"['五险一金', '补充医疗保险', '定期体检', '通讯补贴', '全时奖']",3,6.0,10.0,1
155,.NET开发工程师,深圳市拓安信计控仪表有限公司,民营公司,150-500人,"仪器仪表/工业自动化,计算机软件",0.8-1万/月,深圳,1年经验,本科,招1人,"['带薪年假', '五险一金', '包住宿', '餐饮补贴', '住房补贴', '年终奖金', '项目奖金']",3,8.0,10.0,1
156,.NET开发,深圳市互联工场科技有限公司,民营公司,150-500人,互联网/电子商务,1.5-2万/月,深圳,5-7年经验,本科,招1人,"['周末双休', '带薪年假', '五险一金', '全勤奖', '节日福利', '员工旅游', '专业培训', '年终奖金', '定期体检']",3,15.0,20.0,1
157,.NET开发工程师(ERP维护工程师）,深圳市元鼎科技有限公司,民营公司,50-150人,贸易/进出口,0.8-1万/月,深圳,1年经验,大专,招1人,['五险一金'],3,8.0,10.0,1
158,.NET开发工程师,深圳棠香咨询有限公司,民营公司,150-500人,"互联网/电子商务,金融/投资/证券",1.5-2万/月,深圳,3-4年经验,本科,招若干人,"['五险一金', '弹性工作', '专业培训', '出国机会', '员工旅游', '年终奖金', '定期体检']",3,15.0,20.0,1
159,.NET开发工程师,上海哥瑞利软件有限公司,合资,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",0.8-1.5万/月,深圳,3-4年经验,大专,招4人,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '弹性工作']",3,8.0,15.0,1
160,.NET开发工程师（双休）,深圳市中科信通信息技术有限公司,民营公司,少于50人,"互联网/电子商务,通信/电信/网络设备",6-9千/月,深圳,2年经验,大专,招2人,"['五险一金', '员工旅游', '绩效奖金', '年终奖金', '弹性工作', '定期体检']",2,6.0,9.0,1
161,.NET开发工程师,深圳桑达商用机器有限公司,合资,150-500人,"计算机硬件,计算机服务(系统、数据服务、维修)",0.8-1.3万/月,深圳,3-4年经验,大专,招2人,"['五险一金', '员工旅游', '餐饮补贴', '绩效奖金', '定期体检', '高温补贴', '过节福利', '年终奖金']",3,8.0,13.0,1
162,.NET开发工程师,深圳前海葡萄酒创新管理有限公司,合资,50-150人,"互联网/电子商务,贸易/进出口",0.9-1.1万/月,深圳,3-4年经验,大专,招1人,"['五险一金', '补充医疗保险', '免费班车', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金']",3,9.0,11.0,1
163,.NET开发工程师,深圳市中安信业创业投资有限公司总部,民营公司,1000-5000人,"金融/投资/证券,银行",0.8-1万/月,深圳,2年经验,大专,招2人,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '年终奖金', '定期体检']",3,8.0,10.0,1
164,.NET开发工程师（深圳HM）,北京联龙博通电子商务技术有限公司,民营公司,1000-5000人,"互联网/电子商务,银行",1.1-2万/月,深圳,3-4年经验,本科,招4人,"['五险一金', '专业培训', '交通补贴', '通讯补贴', '弹性工作']",3,11.0,20.0,1
165,.NET开发工程师,深圳车小米智能网络科技有限公司,民营公司,少于50人,"汽车及零配件,互联网/电子商务",1-1.5万/月,深圳,2年经验,本科,招2人,"['五险一金', '员工旅游', '绩效奖金', '出国机会', '年终奖金']",3,10.0,15.0,1
166,.NET开发高级工程师,深圳市美联国际教育有限公司,民营公司,1000-5000人,"教育/培训/院校,专业服务(咨询、人力资源、财会)",1-2万/月,深圳,5-7年经验,本科,招1人,['五险一金'],3,10.0,20.0,1
167,.NET工程师,明纳信息技术深圳有限公司,民营公司,50-150人,计算机软件,4-6千/月,深圳,2年经验,大专,招1人,"['五险一金', '定期体检', '年终奖金', '员工旅游']",2,4.0,6.0,1
168,.NET（C#）软件工程师(职位编号：001),深圳市云图华祥科技有限公司,民营公司,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",0.8-2万/月,深圳,无工作经验,大专,招若干人,"['五险一金', '专业培训', '定期体检', '员工旅游', '交通补贴', '绩效奖金', '年终奖金', '弹性工作', '双休制', '补充医疗保险']",3,8.0,20.0,1
169,.net开发工程师(职位编号：003696),欣旺达电子股份有限公司,上市公司,10000人以上,"电子技术/半导体/集成电路,新能源",1-1.5万/月,深圳,无工作经验,本科,招3人,"['做五休二', '周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训', '通讯补贴']",3,10.0,15.0,1
