,Unnamed: 0,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,ReleaseTime,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
1137,1137,C#.Net工程师,南京大本营电子科技有限公司,民营公司,少于50人,计算机软件,0.8-2万/月,南京,2年经验,大专,招1人,03-22发布,五险一金;员工旅游;年终奖金;绩效奖金;餐饮补贴;交通补贴,3,8.0,20.0,1
1138,1138,C#软件开发工程师,深圳市金龙锋科技有限公司,民营公司,50-150人,计算机软件,3-4.5千/月,深圳,1年经验,大专,招3人,03-22发布,五险一金;员工旅游;绩效奖金;年终奖金,2,3.0,4.5,1
1139,1139,C#桌面程序工程师,成都比目鱼文化传媒有限公司,民营公司,50-150人,影视/媒体/艺术/文化传播,1-1.5万/月,成都,2年经验,本科,招2人,03-22发布,五险一金;绩效奖金;年终奖金,3,10.0,15.0,1
1140,1140,c#.net讲师五险一金周末双休,青岛英谷教育科技股份有限公司,上市公司,50-150人,教育/培训/院校,0.8-1万/月,青岛,2年经验,本科,招1人,03-22发布,五险一金;交通补贴;周末双休;年底双薪;采暖补贴;高温补贴;餐饮补贴,3,8.0,10.0,1
1141,1141,C#软件工程师（Java/C++等语言可转）,慧咨环球（中国）信息技术有限公司南京分公司,外资（欧美）,50-150人,计算机软件,1-1.8万/月,南京,1年经验,本科,招3人,03-22发布,五险一金;餐饮补贴;出国机会;年终奖金;弹性工作;定期体检,3,10.0,18.0,1
1142,1142,.net（C#）开发工程师实习,宁波市恒禹软件有限公司,民营公司,少于50人,计算机软件,3-4.5千/月,宁波,无工作经验,大专,招2人,03-22发布,五险一金;交通补贴;通讯补贴,2,3.0,4.5,1
1143,1143,C#开发工程师,讯喆微电子（合肥）有限公司,外资（非欧美）,50-150人,电子技术/半导体/集成电路,0.4-1万/月,合肥,无工作经验,不限学历,招若干人,03-22发布,五险一金;包吃,3,4.0,10.0,1
1144,1144,C#开发工程师,深圳市豪恩安全科技有限公司,外资（非欧美）,150-500人,电子技术/半导体/集成电路,1-1.5万/月,深圳,3-4年经验,大专,招1人,03-22发布,五险一金;免费班车;员工旅游;绩效奖金;年终奖金;定期体检;周末双休;提供吃住,3,10.0,15.0,1
1145,1145,C#开发工程师,南京理学工程数据技术有限公司,民营公司,50-150人,计算机软件,6-8千/月,南京,2年经验,大专,招2人,03-22发布,免费班车;交通补贴;餐饮补贴;专业培训;绩效奖金;年终奖金;五险;定期体检,2,6.0,8.0,1
1146,1146,C#软件工程师,上海弼智仿生高科技有限公司,民营公司,少于50人,计算机软件,0.8-1万/月,上海,无工作经验,本科,招2人,03-22发布,五险一金;员工旅游;餐饮补贴;年终奖金;定期体检,3,8.0,10.0,1
1147,1147,C#开发工程师,江西兆驰半导体有限公司,民营公司,1000-5000人,电子技术/半导体/集成电路,4-8千/月,南昌,无工作经验,大专,招2人,03-21发布,五险一金;员工旅游;交通补贴;餐饮补贴;通讯补贴;专业培训;出国机会;绩效奖金;年终奖金;定期体检,2,4.0,8.0,1
1148,1148,C#开发工程师,中交疏浚技术装备国家工程研究中心有限公司,国企,150-500人,电气/电力/水利,15-30万/年,上海,无工作经验,本科,招2人,03-21发布,五险一金;交通补贴;专业培训;绩效奖金;补充公积金;年终奖金;通讯补贴;定期体检,4,12.5,25.0,1
1149,1149,c#工程师,福州星海湾软件有限公司,民营公司,50-150人,计算机软件,0.8-1.2万/月,福州,2年经验,本科,招1人,03-21发布,绩效奖金;五险一金;弹性工作;周末双休;年底双薪,3,8.0,12.0,1
1150,1150,C#开发工程师（制造信息化管理部）				(职位编号：GZSZ04),欧派家居集团股份有限公司,民营公司,10000人以上,家居/室内设计/装潢,13-16万/年,广州,3-4年经验,本科,招2人,03-21发布,五险一金,4,10.833333333333332,13.333333333333332,1
1151,1151,C#软件开发实习生,上海经科信息技术有限公司,民营公司,50-150人,计算机软件,2-3千/月,上海,无工作经验,硕士,招8人,03-21发布,五险一金,2,2.0,3.0,1
1152,1152,C#开发工程师,西安恪诚电子科技有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),0.6-1万/月,西安,3-4年经验,本科,招2人,03-21发布,五险一金;补充医疗保险;员工旅游;餐饮补贴;年终奖金;定期体检;周末双休;年假;每年调薪,3,6.0,10.0,1
1153,1153,Java/C#开发工程师（商务智能）,中芯集成电路制造（绍兴）有限公司,合资,500-1000人,电子技术/半导体/集成电路,1-2万/月,上海,5-7年经验,本科,招若干人,03-21发布,五险一金;免费班车;员工旅游;餐饮补贴;专业培训;绩效奖金;定期体检,3,10.0,20.0,1
1154,1154,c#软件工程师（上市公司）,广州好莱客创意家居股份有限公司,上市公司,1000-5000人,家居/室内设计/装潢,0.8-1.3万/月,广州,3-4年经验,本科,招5人,03-21发布,五险一金;绩效奖金;餐饮补贴;年终奖金;专业培训;免费班车;定期体检;年底双薪;晋升机会;圈吧活动,3,8.0,13.0,1
1155,1155,软件开发工程师（C#）				(职位编号：RJ2018012),成都华西公用医疗信息服务有限公司,民营公司,150-500人,计算机软件,5-8千/月,成都,2年经验,本科,招2人,03-21发布,五险一金;餐饮补贴;专业培训;绩效奖金;年终奖金;定期体检,2,5.0,8.0,1
1156,1156,软件工程师（JAVA+C#一起开发）,广州飞锐机器人科技有限公司,民营公司,少于50人,计算机软件,7-9千/月,广州,2年经验,大专,招2人,03-21发布,五险一金;补充医疗保险;员工旅游;绩效奖金;定期体检;年终奖金;出差补贴;包中餐,2,7.0,9.0,1
1157,1157,C#开发工程师,宁波中国科学院信息技术应用研究院,事业单位,150-500人,学术/科研,5.5-8.5千/月,宁波,无工作经验,本科,招1人,03-21发布,年终奖金;绩效奖金;餐饮补贴;弹性工作;定期体检,2,5.5,8.5,1
1158,1158,C#.net软件工程师（2年以上经验，外包）,南京青花瓷软件科技有限公司,民营公司,50-150人,计算机软件,5-8千/月,南京,1年经验,大专,招5人,03-21发布,五险一金;绩效奖金;员工旅游;交通补贴;餐饮补贴;通讯补贴;年终奖金;定期体检;定期旅游,2,5.0,8.0,1
1159,1159,C#开发工程师,广州远正智能科技股份有限公司,上市公司,150-500人,电子技术/半导体/集成电路,0.8-1万/月,广州,3-4年经验,大专,招2人,03-21发布,五险一金;员工旅游;绩效奖金;年终奖金;带薪年假;节日福利;高温补贴,3,8.0,10.0,1
1160,1160,C#软件开发工程师Csharp,上海看看智能科技有限公司,创业公司,50-150人,计算机服务(系统、数据服务、维修),0.6-1万/月,上海,1年经验,本科,招2人,03-21发布,五险一金;专业培训;员工旅游;出国机会;餐饮补贴;年终奖金;股票期权;弹性工作,3,6.0,10.0,1
