,Unnamed: 0,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,ReleaseTime,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
60,71,"27212D-资深java开发工程师（深圳）				(职位编号：27212D)",平安壹钱包,民营公司,1000-5000人,互联网/电子商务,2-2.5万/月,深圳,5-7年经验,本科,招2人,03-24发布,五险一金;绩效奖金;带薪年假;补充医疗保险;员工旅游,3,20,25,1
61,72,Java高级开发工程师,上海麦子资产管理有限公司,民营公司,500-1000人,金融/投资/证券,2-2.5万/月,北京市,5-7年经验,本科,招1人,03-24发布,五险一金;员工旅游;年终奖金;定期体检,3,20,25,1
62,73,JavaSoftwareEngineer,泰为信息科技（上海）有限公司,外资（欧美）,150-500人,计算机软件,1.5-2万/月,上海,1年经验,本科,招1人,03-24发布,五险一金;补充医疗保险;补充公积金;员工旅游;餐饮补贴;通讯补贴;出国机会;年终奖金;弹性工作;定期体检,3,15,20,1
63,74,Java开发工程师,上海比孚信息科技有限公司,民营公司,150-500人,计算机软件,0.8-1.2万/月,上海,无工作经验,不限学历,招2人,03-24发布,五险一金,3,8,12,1
64,75,Java高级开发工程师,武汉钇众合创科技服务有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),1.5-2万/月,武汉,无工作经验,不限学历,招10人,03-24发布,五险一金;员工旅游;年终奖金;绩效奖金;专业培训;做五休二;弹性工作;带薪年假;包住宿;餐饮补贴,3,15,20,1
65,76,java大数据开发工程师,北京市联龙博通电子商务技术有限公司,民营公司,1000-5000人,互联网/电子商务,1-1.5万/月,深圳,3-4年经验,本科,招1人,03-24发布,五险一金;弹性工作;餐饮补贴;年终奖金,3,10,15,1
66,77,Java高级开发工程师,中山市智力顺电器有限公司,民营公司,150-500人,家具/家电/玩具/礼品,2-2.5万/月,广州,3-4年经验,本科,招若干人,03-24发布,五险一金;免费班车;交通补贴;餐饮补贴;年终奖金;专业培训,3,20,25,1
67,78,Java工程师,深圳市鑫益嘉科技股份有限公司,上市公司,150-500人,计算机软件,1-2万/月,深圳,3-4年经验,本科,招1人,03-24发布,五险一金;员工旅游;专业培训;年终奖金;生日会;下午茶,3,10,20,1
68,79,Java开发工程师,贵州广思信息网络有限公司,国企,50-150人,计算机服务(系统、数据服务、维修),0.8-1.4万/月,贵阳,无工作经验,不限学历,招2人,03-24发布,五险一金;交通补贴;餐饮补贴;通讯补贴;定期体检;14薪;免费班车,3,8,14,1
69,80,java开发工程师,辽宁惠康检测评价技术有限公司,民营公司,50-150人,检测，认证,0.6-1.2万/月,沈阳,无工作经验,不限学历,招2人,03-24发布,做五休二;五险一金;周末双休;节日福利,3,6,12,1
70,81,Java高级开发工程师,北京市聚源锐思数据科技有限公司,民营公司,50-150人,计算机软件,1.5-2.5万/月,北京市,无工作经验,不限学历,招1人,03-24发布,五险一金;年终奖金;定期体检;弹性工作;交通补贴;餐饮补贴;通讯补贴;员工旅游,3,15,25,1
71,82,java后端工程师,广东凯兴达建筑科技有限公司,民营公司,50-150人,建筑/建材/工程,0.6-1万/月,中山,2年经验,大专,招1人,03-24发布,带薪年假;绩效奖金;社会保险;标准工时;年终奖金,3,6,10,1
72,83,Java开发工程师(北京市),北京市先进数通信息技术股份公司,上市公司,1000-5000人,计算机软件,0.7-1.1万/月,北京市,3-4年经验,本科,招2人,03-24发布,五险一金;餐饮补贴;定期体检;年终奖金,3,7,11,1
73,85,Java开发工程师,富德康（北京市）科技股份有限公司,民营公司,50-150人,计算机软件,1.5-2万/月,北京市,3-4年经验,本科,招1人,03-24发布,五险一金;带薪年假;周末双休;节日福利;全勤奖;绩效奖金;交通补贴;餐饮补贴;定期体检,3,15,20,1
74,86,Java开发工程师,广州健新科技股份有限公司,民营公司,150-500人,计算机软件,5-8千/月,成都,2年经验,大专,招若干人,03-24发布,五险一金;定期体检;免费午餐;周末双休;节日福利,2,5,8,1
75,87,java软件工程师,北京市致远互联软件股份有限公司,民营公司,1000-5000人,互联网/电子商务,0.8-1.4万/月,成都,3-4年经验,本科,招若干人,03-24发布,弹性工作;五险一金;绩效奖金;定期体检;员工旅游,3,8,14,1
76,88,Java开发工程师,深圳市惠享付网络技术有限公司,民营公司,少于50人,互联网/电子商务,1-1.5万/月,深圳,3-4年经验,大专,招1人,03-24发布,五险一金;年终奖金;绩效奖金;丰厚提成;交通补贴;通讯补贴;专业培训;弹性工作,3,10,15,1
77,89,Java高级开发工程师,上海金大师互联网金融信息服务有限公司,上市公司,1000-5000人,金融/投资/证券,1.5-2.5万/月,上海,3-4年经验,本科,招1人,03-24发布,做五休二;周末双休;带薪年假;五险一金;节日福利;结婚生育福利;生日福利;商业保险,3,15,25,1
78,90,java开发工程师（外派启明）,长春斯纳欧软件有限公司,民营公司,150-500人,计算机软件,4.5-6千/月,长春,无工作经验,不限学历,招10人,03-24发布,五险一金;绩效奖金;年终奖金;专业培训;出国机会;周末双休;节日福利,2,4.5,6,1
79,91,Java开发工程师-光典-DASCPB,上海中信信息发展股份有限公司,上市公司,1000-5000人,计算机软件,0.8-1万/月,上海,2年经验,大专,招1人,03-24发布,五险一金;餐饮补贴;绩效奖金;年终奖金;员工旅游,3,8,10,1
80,92,Java高级开发工程师(西安）,杭州数云信息技术有限公司西安分公司,民营公司,500-1000人,计算机软件,1.5-2万/月,西安,5-7年经验,大专,招2人,03-24发布,五险一金,3,15,20,1
81,93,Java后端研发工程师,广州市奔流电力科技有限公司,民营公司,50-150人,电气/电力/水利,2-3万/月,广州,无工作经验,不限学历,招3人,03-24发布,五险一金;员工旅游;专业培训;绩效奖金;年终奖金;弹性工作;定期体检;周末双休;节日津贴;餐费补贴,3,20,30,1
82,94,Java开发工程师,海通安恒科技有限公司,民营公司,1000-5000人,专业服务(咨询、人力资源、财会),1.3-1.7万/月,杭州,3-4年经验,大专,招1人,03-24发布,五险一金;通讯补贴;年终奖金;定期体检;周末双休;带薪年假,3,13,17,1
83,96,Java中级开发工程师,天津卓修生物科技有限公司,民营公司,少于50人,制药/生物工程,0.7-1万/月,天津,无工作经验,不限学历,招1人,03-24发布,五险一金;餐饮补贴;通讯补贴;绩效奖金,3,7,10,1
84,97,Java中级开发工程师,薪宝信息科技（广州）有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),1.3-2万/月,广州,3-4年经验,大专,招2人,03-24发布,五险一金;年终奖金;定期体检;带薪年假;做五休二;全勤奖;绩效奖金;节日福利;专业培训,3,13,20,1
85,98,Java后台开发工程师,深圳前海招文天下金融服务有限公司,民营公司,500-1000人,计算机软件,1.1-1.3万/月,深圳,3-4年经验,本科,招3人,03-24发布,五险一金;加班补贴;年底双薪,3,11,13,1
86,99,Java开发工程师,上海炽聚网络科技有限公司,民营公司,50-150人,计算机软件,1.2-1.8万/月,上海,3-4年经验,本科,招3人,03-24发布,五险一金,3,12,18,1
87,100,Java开发工程师,成都微鑫通时代科技有限公司,民营公司,50-150人,计算机软件,6-8千/月,成都,1年经验,大专,招3人,03-24发布,五险一金;专业培训;定期体检;弹性工作;绩效奖金;年终奖金;交通补贴;水果零食,2,6,8,1
88,101,Java中级开发工程师,上海埃林哲软件系统股份有限公司,上市公司,150-500人,计算机软件,0.8-1.5万/月,武汉,3-4年经验,大专,招2人,03-24发布,五险一金;员工旅游;股票期权;年终奖金;绩效奖金;定期体检;通讯补贴,3,8,15,1
89,102,Java开发工程师,平湖波汇通信科技有限公司,民营公司,150-500人,电子技术/半导体/集成电路,1.8-2.5万/月,上海,3-4年经验,本科,招1人,03-24发布,带薪年假;交通补贴;定期体检;补充医疗保险;员工旅游;年终奖金;专业培训;13薪;试用期全额;上市企业,3,18,25,1
90,103,Java开发工程师,深圳引力波孵化投资有限公司,民营公司,少于50人,金融/投资/证券,1-1.5万/月,深圳,3-4年经验,大专,招若干人,03-24发布,五险一金,3,10,15,1
91,104,Java开发工程师（游戏）,上海实牛信息技术服务有限公司,合资,50-150人,网络游戏,1.5-2万/月,上海,3-4年经验,大专,招1人,03-24发布,五险一金;餐饮补贴;绩效奖金;年终奖金;弹性工作;员工旅游;出国机会;带薪年假;带薪病假;周末双休,3,15,20,1
92,105,Java开发工程师,河北新禾科技有限公司,民营公司,150-500人,计算机软件,4.5-6千/月,石家庄,无工作经验,不限学历,招3人,03-24发布,五险一金,2,4.5,6,1
93,107,Java开发工程师,云南友脉投资有限公司,民营公司,1000-5000人,金融/投资/证券,0.8-1万/月,广州,5-7年经验,本科,招1人,03-24发布,五险一金;员工旅游;交通补贴;年终奖金;定期体检,3,8,10,1
94,108,Java资深开发工程师,上海慧远医院投资有限公司,民营公司,150-500人,医疗/护理/卫生,1.5-2万/月,上海,5-7年经验,本科,招1人,03-24发布,五险一金;弹性工作;专业培训;补充医疗保险;补充公积金;通讯补贴;绩效奖金;定期体检;交通补贴;餐饮补贴,3,15,20,1
95,110,Java开发工程师,厦门市鋆鹭软件科技有限公司,民营公司,少于50人,计算机软件,0.8-1万/月,厦门,3-4年经验,大专,招若干人,03-24发布,绩效奖金;年终奖金;医社保,3,8,10,1
96,111,Java开发助理,成都三个字信息技术有限公司,民营公司,150-500人,计算机软件,3-4.5千/月,成都,无工作经验,大专,招3人,03-24发布,五险一金,2,3,4.5,1
97,112,中高级Java,北京市宝信科技有限公司,民营公司,50-150人,计算机软件,1-1.5万/月,上海,无工作经验,不限学历,招3人,03-24发布,五险一金;年终奖金;绩效奖金,3,10,15,1
98,113,Java中级开发工程师-鼎富科技-华南营运中心,北京市神州泰岳软件股份有限公司,上市公司,1000-5000人,计算机软件,1-1.5万/月,广州,3-4年经验,本科,招2人,03-24发布,做五休二;周末双休;带薪年假;五险一金;绩效奖金;交通补贴,3,10,15,1
99,114,Java开发工程师助理,深圳市搜奇合创科技发展有限公司,民营公司,50-150人,计算机软件,4.5-6千/月,深圳,无工作经验,不限学历,招20人,03-24发布,五险一金,2,4.5,6,1
100,116,Java开发工程师,返利网,合资,500-1000人,互联网/电子商务,1.5-3万/月,上海,3-4年经验,本科,招1人,03-24发布,五险一金;绩效奖金;全勤奖;做五休二;餐饮补贴;节日福利;专业培训,3,15,30,1
101,117,Java架构师,上海利唐信息科技有限公司,民营公司,150-500人,计算机软件,2.5-3.5万/月,上海,5-7年经验,本科,招2人,03-24发布,五险一金;补充医疗保险;员工旅游;定期体检;年终奖金;通讯补贴,3,25,35,1
102,118,Java开发工程师,珠海睿鹏信息科技有限公司,民营公司,少于50人,计算机软件,0.8-1万/月,珠海,3-4年经验,大专,招2人,03-24发布,五险一金;餐饮补贴;高温补贴;带薪年假;周末双休;节日福利;定期体检,3,8,10,1
103,119,Java开发工程师,深圳市中深海国际货运代理有限公司,民营公司,150-500人,交通/运输/物流,1-1.8万/月,深圳,3-4年经验,本科,招1人,03-24发布,五险一金,3,10,18,1
104,120,Java高级开发工程师,全时云商务服务股份有限公司西安分公司,民营公司,500-1000人,互联网/电子商务,1-1.5万/月,西安,5-7年经验,本科,招1人,03-24发布,五险一金,3,10,15,1
105,121,Java高级开发工程师,安徽佳慈健康管理有限公司,民营公司,50-150人,医疗/护理/卫生,0.7-1万/月,合肥,无工作经验,不限学历,招1人,03-24发布,绩效奖金;年终奖金;定期体检;免费午餐;五险一金,3,7,10,1
106,122,Java高级开发工程师,重庆酷贝科技发展有限公司,民营公司,少于50人,计算机软件,1-1.5万/月,重庆,5-7年经验,不限学历,招3人,03-24发布,五险一金;员工旅游;定期体检;年终奖金;绩效奖金,3,10,15,1
107,123,Java开发工程师,上海速道科技有限公司,民营公司,50-150人,互联网/电子商务,1-2万/月,上海,3-4年经验,本科,招1人,03-24发布,五险一金,3,10,20,1
108,124,Java开发工程师,上海形趣信息科技有限公司,民营公司,50-150人,互联网/电子商务,1.1-1.5万/月,上海,2年经验,大专,招1人,03-24发布,五险一金,3,11,15,1
109,125,Java高级开发工程师,噢咪（北京市）文化传媒有限公司,民营公司,少于50人,网络游戏,1.5-2.5万/月,北京市,无工作经验,不限学历,招3人,03-24发布,五险一金;免费班车;绩效奖金;定期体检;员工旅游;团建;就近房补;节日福利,3,15,25,1
110,126,Java高级开发工程师,杭州至速网络科技有限公司,民营公司,50-150人,互联网/电子商务,0.8-1万/月,杭州,3-4年经验,本科,招1人,03-24发布,五险一金;定期体检;年终奖金;绩效奖金;周末双休,3,8,10,1
