高薪诚聘销售,青岛鑫顶派家居有限责任公司市北分公司,民营公司,150-500人,家居/室内设计/装潢,0.8-1万/月,青岛-城阳区,1年经验,中专,招8人,03-31发布,,,,
网络推广专员,青岛佰利诺商务顾问有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),4.5-6千/月,青岛-市南区,1年经验,,招1人,03-31发布,,,五险一金;专业培训;通讯补贴;餐饮补贴;交通补贴;绩效奖金;年终奖金;出国机会,
体育教育培训/幼教/学前教育,安徽劲炫体育文化传播有限公司,民营公司,50-150人,娱乐/休闲/体育,3-4.5千/月,合肥-滨湖新区,无工作经验,大专,招10人,03-31发布,英语良好,体育教育 学前教育,,
汽车销售（轻卡、重卡）,宿州市世搏工贸有限公司,民营公司,150-500人,汽车及零配件,0.5-1万/月,宿州,无工作经验,,招3人,03-31发布,,,弹性工作;带薪年假;五险一金;包吃;专业培训;节日福利,
无经验亦可/师傅带教（6000底薪+提成）,上海链家沪南事业部-源深大区,民营公司,10000人以上,中介服务,0.8-1万/月,上海-浦东新区,无工作经验,本科,招10人,03-31发布,,,,
资深软装设计师,武汉市郁金香墙纸贸易有限公司,民营公司,150-500人,贸易/进出口,6-8千/月,武汉-硚口区,无工作经验,,招1人,03-31发布,,,带薪年假;五险一金;包吃;绩效奖金;节日福利;餐饮补贴,
销售代表（全面培训+上不封顶）,中国人寿保险股份有限公司成都市分公司滨江营销服务部,国企,10000人以上,保险,0.8-1.2万/月,成都-青羊区,无工作经验,大专,招5人,03-31发布,,,通讯补贴;定期体检;弹性工作;专业培训;员工旅游;交通补贴;年终奖金;绩效奖金;五险一金;补充医疗保险,
招团队高管底薪6000+双休,武汉市海豚湾婚姻介绍有限公司,创业公司,少于50人,生活服务,1.5-2万/月,武汉-江汉区,无工作经验,,招2人,03-31发布,,,,
机械销售代表/机械销售工程师/机械销售专员,上海耀品商务咨询有限公司,外企代表处,少于50人,专业服务(咨询、人力资源、财会),4-6千/月,上海-静安区,1年经验,高中,招1人,03-31发布,普通话熟练,,,
天猫淘宝客服				(职位编号：001),深圳市零洋科技有限公司,民营公司,少于50人,互联网/电子商务,4-8千/月,深圳-龙岗区,1年经验,高中,招3人,03-31发布,普通话良好,,五险一金;包吃;包住宿;全勤奖;月休4天,
